DD3,56.49,-2.99
DD4,56.49,-2.93
DD5,56.47,-2.88
DD6,56.44,-2.94
DD7,56.5,-2.71
DD8,56.64,-2.89
DD9,56.73,-2.66
DE1,52.92,-1.47
DE11,52.77,-1.56
DE12,52.73,-1.53
DE13,52.82,-1.67
DE14,52.8,-1.64
DE15,52.81,-1.61
DE2,52.89,-1.44
DE21,52.95,-1.44
DE22,52.93,-1.48
DE23,52.9,-1.51
DE24,52.89,-1.44
DE3,52.92,-1.55
DE4,53.22,-1.67
DE45,53.22,-1.67
DE5,53.02,-1.45
DE55,53.08,-1.4
DE56,53.01,-1.43
DE6,53.01,-1.74
DE65,52.87,-1.64
DE7,52.98,-1.32
DE72,52.86,-1.38
DE73,52.82,-1.42
DE74,52.84,-1.28
DE75,53.01,-1.35
DE99,52.92,-1.47
DG1,55.07,-3.61
DG10,55.33,-3.44
DG11,55.09,-3.33
DG12,54.99,-3.26
DG13,55.15,-3
DG14,55.08,-2.94
DG16,55,-3.07
DG2,55.07,-3.62
DG3,55.24,-3.79
DG4,55.36,-3.92
DG5,54.93,-3.82
DG6,54.84,-4.05
DG7,54.94,-3.93
DG8,54.88,-4.82
DG9,54.91,-5.03
DH1,54.78,-1.57
DH2,54.88,-1.58
DH3,54.9,-1.58
DH4,54.84,-1.47
DH5,54.81,-1.45
DH6,54.78,-1.51
DH7,54.83,-1.71
DH8,54.86,-1.85
DH9,54.87,-1.7
DH97,54.79,-1.54
DH98,54.93,-1.62
DH99,54.79,-1.54
DL1,54.52,-1.55
DL10,54.41,-1.74
DL11,54.4,-1.81
DL12,54.61,-2
DL13,54.77,-2.22
DL14,54.66,-1.73
DL15,54.71,-1.69
DL16,54.7,-1.6
DL17,54.68,-1.54
DL2,54.51,-1.47
DL3,54.55,-1.55
DL4,54.63,-1.65
DL5,54.63,-1.56
DL6,54.34,-1.43
DL7,54.39,-1.49
DL8,54.29,-1.59
DL9,54.38,-1.74
DL98,54.53,-1.56
DN1,53.52,-1.13
DN10,53.45,-0.85
DN11,53.48,-1.07
DN12,53.48,-1.19
DN14,53.69,-1.03
DN15,53.62,-0.57
